DateTime,TimeEpoch,Temperature,Humidity,xaccelaration,yaccelaration,zaccelaration
2021/10/01 14:00:40,1633068040.451801,,,0.01,-0.0,-0.02
2021/10/01 14:00:40,1633068040.5828032,,,0.01,-0.01,-0.0
2021/10/01 14:00:40,1633068040.651232,,,-0.0,0.0,-0.0
2021/10/01 14:00:40,1633068040.7522295,,,0.01,-0.31,0.02
2021/10/01 14:00:40,1633068040.8522303,,,0.03,0.0,-0.0
2021/10/01 14:00:40,1633068040.9532282,,,0.01,0.02,0.22
2021/10/01 14:00:41,1633068041.0517418,,,0.02,0.0,0.23
2021/10/01 14:00:41,1633068041.1517408,,,-0.0,0.0,-0.0
2021/10/01 14:00:41,1633068041.2517416,,,-0.0,-0.0,-0.0
2021/10/01 14:00:41,1633068041.3517456,,,0.0,-0.0,-0.01
2021/10/01 14:00:41,1633068041.4517417,,,-0.02,-0.0,-0.0
2021/10/01 14:00:41,1633068041.5522633,,,0.02,-0.01,-0.03
2021/10/01 14:00:41,1633068041.6532607,,,0.0,-0.0,-0.02
2021/10/01 14:00:41,1633068041.7517815,,,0.0,-0.0,-0.0
2021/10/01 14:00:41,1633068041.8517833,,,0.01,0.0,-0.0
2021/10/01 14:14:54,1633068894.169917,,,-0.0,0.01,-0.0
2021/10/01 14:14:56,1633068896.6812854,,,-0.01,0.0,0.0
2021/10/01 14:14:59,1633068899.3783205,,,-0.01,0.0,-0.0
2021/10/01 14:15:02,1633068902.2634332,,,-0.01,0.01,0.03
2021/10/01 14:15:05,1633068905.5249863,,,-0.0,0.01,0.0
2021/10/01 14:15:08,1633068908.7094536,,,-0.01,0.0,-0.0
2021/10/01 14:15:11,1633068911.9251554,,,-0.01,0.0,-0.0
2021/10/01 14:15:15,1633068915.4088502,,,-0.01,0.0,0.01
2021/10/01 14:15:19,1633068919.436448,,,-0.0,0.0,-0.0
2021/10/01 14:15:39,1633068939.0365126,,,-0.0,-0.2,-0.0
2021/10/01 14:15:41,1633068941.6542933,,,-0.0,0.0,-0.0
2021/10/01 14:15:44,1633068944.5555294,,,-0.01,-0.0,0.0
2021/10/01 14:15:47,1633068947.4665792,,,-0.0,0.0,-0.0
2021/10/01 20:41:28,1633092088.449745,,,0.01,0.01,0.01
2021/10/01 20:41:28,1633092088.550738,,,-0.0,0.01,0.01
2021/10/01 20:41:28,1633092088.6504297,,,0.0,0.01,0.0
2021/10/01 20:41:28,1633092088.7504315,,,-0.0,0.01,0.01
2021/10/01 20:41:28,1633092088.849429,,,0.01,0.01,0.01
2021/10/01 20:41:28,1633092088.9504302,,,0.0,-0.0,-0.0
2021/10/01 20:41:29,1633092089.0494273,,,0.01,0.0,0.01
2021/10/01 20:41:29,1633092089.1494257,,,0.01,0.01,0.02
2021/10/01 20:41:29,1633092089.2494264,,,0.01,0.01,0.01
2021/10/01 20:41:29,1633092089.3494248,,,0.0,0.01,0.02
2021/10/01 20:41:29,1633092089.4504254,,,0.03,0.01,0.02
2021/10/01 20:41:29,1633092089.5504253,,,0.01,0.01,0.03
2021/10/01 20:41:29,1633092089.6504247,,,0.02,0.01,0.01
2021/10/01 20:41:29,1633092089.7504263,,,0.01,0.01,0.01
2021/10/01 20:41:29,1633092089.8506246,,,0.01,0.01,0.0
2021/10/01 20:41:29,1633092089.9506264,,,0.02,0.01,0.0
2021/10/01 20:41:30,1633092090.0506227,,,0.01,0.01,0.01
2021/10/01 20:41:30,1633092090.1506238,,,0.01,0.01,0.02
2021/10/01 20:41:30,1633092090.2506857,,,-0.02,0.01,0.06
2021/10/01 20:41:30,1633092090.350687,,,0.0,0.01,0.0
2021/10/01 20:41:30,1633092090.4506862,,,0.01,0.02,0.01
2021/10/01 20:41:30,1633092090.5509396,,,0.06,0.0,0.0
2021/10/01 20:41:30,1633092090.651956,,,0.01,-0.04,-0.11
2021/10/01 20:41:30,1633092090.750908,,,0.01,0.0,-0.01
2021/10/01 20:41:30,1633092090.8509223,,,0.01,0.01,0.01
2021/10/01 20:41:30,1633092090.9509184,,,0.01,0.01,0.01
2021/10/01 20:41:31,1633092091.0509188,,,0.01,0.05,0.01
2021/10/01 20:41:31,1633092091.150918,,,0.0,0.01,0.01
2021/10/01 20:41:31,1633092091.2509198,,,0.0,0.01,0.01
2021/10/01 20:41:31,1633092091.3509188,,,0.01,0.01,0.02
2021/10/01 20:41:31,1633092091.4509182,,,0.01,0.0,0.01
2021/10/01 20:41:31,1633092091.5509079,,,0.01,0.01,0.01
2021/10/01 20:41:31,1633092091.6509047,,,-0.09,0.01,0.0
2021/10/01 20:41:31,1633092091.7509038,,,0.02,-0.01,0.01
2021/10/01 20:41:31,1633092091.8509042,,,0.01,-0.02,0.01
2021/10/01 20:41:31,1633092091.9509041,,,0.01,0.0,0.01
